id  front  fgtId1  fgtId2  fgtId3  fgtId4  fgtId5  P1  P2  P3  P4  P5  P6  
139  2  1004  1006  1011  1016  1017  4  6  10  11  16  17  
140  2  1001  1002  1011  1017  1018  1  2  6  11  17  18  
141  1  1004  1005  1012  1013  1014  4  5  9  12  13  14  
142  5  1001  1007  1012  1016  1018  1  7  10  12  16  18  
143  9  1002  1007  1012  1014  1015  2  7  8  12  14  15  
144  1  1002  1003  1012  1014  1017  2  3  6  12  14  17  
145  6  1004  1005  1011  1013  1017  4  5  10  11  13  17  
146  8  1001  1004  1011  1012  1018  1  4  7  11  12  18  
147  9  1001  1005  1011  1017  1018  1  5  9  11  17  18  
148  9  1001  1004  1011  1012  1014  1  4  7  11  12  14  
149  8  1002  1004  1015  1016  1018  2  4  9  15  16  18  
150  1  1006  1007  1012  1016  1018  6  7  8  12  16  18  
151  7  1005  1007  1013  1017  1018  5  7  8  13  17  18  
152  2  1002  1003  1011  1012  1013  2  3  4  11  12  13  
153  1  1004  1007  1011  1012  1017  4  7  8  11  12  17  
154  6  1002  1003  1016  1017  1018  2  3  8  16  17  18  
155  6  1001  1002  1011  1012  1014  1  2  3  11  12  14  
156  3  1001  1002  1012  1014  1018  1  2  4  12  14  18  
157  6  1002  1003  1013  1016  1017  2  3  7  13  16  17  
158  8  1001  1002  1013  1014  1017  1  2  7  13  14  17  
159  8  1003  1006  1011  1014  1017  3  6  7  11  14  17  
160  6  1002  1004  1013  1014  1018  2  4  9  13  14  18  
161  9  1001  1006  1014  1017  1018  1  6  7  14  17  18  
162  2  1001  1004  1011  1016  1018  1  4  8  11  16  18  
163  8  1002  1004  1011  1013  1017  2  4  10  11  13  17  
164  6  1004  1006  1015  1017  1018  4  6  8  15  17  18  
165  7  1003  1004  1014  1015  1017  3  4  6  14  15  17  
166  10  1001  1003  1014  1015  1017  1  3  10  14  15  17  
167  10  1004  1005  1015  1016  1018  4  5  9  15  16  18  
168  9  1001  1007  1011  1015  1017  1  7  9  11  15  17  
169  1  1003  1004  1015  1017  1018  3  4  8  15  17  18  
170  4  1005  1006  1011  1016  1017  5  6  7  11  16  17  
171  9  1002  1004  1011  1013  1016  2  4  9  11  13  16  
172  3  1002  1006  1013  1016  1018  2  6  9  13  16  18  
173  1  1002  1003  1013  1014  1018  2  3  9  13  14  18  
174  8  1001  1003  1014  1016  1017  1  3  8  14  16  17  
175  3  1002  1007  1011  1012  1015  2  7  9  11  12  15  
176  9  1001  1003  1011  1016  1018  1  3  7  11  16  18  
177  7  1003  1005  1013  1015  1017  3  5  10  13  15  17  
178  5  1003  1004  1011  1015  1016  3  4  9  11  15  16  
179  6  1001  1004  1012  1014  1015  1  4  10  12  14  15  
180  6  1003  1004  1012  1014  1017  3  4  8  12  14  17  
181  8  1001  1002  1012  1016  1018  1  2  6  12  16  18  
182  3  1001  1002  1012  1017  1018  1  2  8  12  17  18  
183  5  1001  1002  1014  1017  1018  1  2  6  14  17  18  
184  1  1004  1006  1016  1017  1018  4  6  10  16  17  18  
185  7  1005  1007  1014  1017  1018  5  7  9  14  17  18  
186  8  1001  1002  1012  1013  1018  1  2  7  12  13  18  
187  4  1001  1006  1013  1014  1017  1  6  7  13  14  17  
188  1  1001  1002  1011  1012  1015  1  2  9  11  12  15  
189  7  1004  1007  1011  1017  1018  4  7  8  11  17  18  
190  9  1001  1002  1012  1013  1014  1  2  5  12  13  14  
191  8  1002  1003  1015  1017  1018  2  3  4  15  17  18  
192  2  1002  1003  1011  1014  1016  2  3  10  11  14  16  
193  4  1001  1003  1012  1017  1018  1  3  6  12  17  18  
194  2  1001  1002  1014  1016  1018  1  2  8  14  16  18  
195  1  1001  1002  1012  1017  1018  1  2  8  12  17  18  
196  9  1001  1002  1012  1015  1018  1  2  3  12  15  18  
197  3  1001  1002  1011  1013  1018  1  2  7  11  13  18  
198  7  1005  1006  1013  1016  1018  5  6  9  13  16  18  
199  4  1003  1007  1012  1013  1014  3  7  9  12  13  14  
200  2  1001  1003  1011  1015  1016  1  3  7  11  15  16  
201  4  1004  1007  1015  1016  1017  4  7  8  15  16  17  
202  5  1002  1006  1011  1012  1013  2  6  10  11  12  13  
203  4  1001  1005  1011  1014  1017  1  5  6  11  14  17  
204  2  1002  1003  1011  1015  1016  2  3  8  11  15  16  
205  4  1002  1003  1011  1015  1017  2  3  10  11  15  17  
206  7  1003  1005  1012  1014  1016  3  5  10  12  14  16  
207  7  1001  1002  1011  1012  1013  1  2  6  11  12  13  
208  3  1003  1004  1015  1016  1017  3  4  8  15  16  17  
209  2  1001  1003  1011  1016  1017  1  3  4  11  16  17  
210  10  1001  1006  1011  1013  1017  1  6  10  11  13  17  
211  2  1001  1005  1012  1017  1018  1  5  7  12  17  18  
212  5  1001  1003  1011  1012  1016  1  3  9  11  12  16  
213  3  1002  1003  1016  1017  1018  2  3  5  16  17  18  
214  8  1001  1003  1014  1017  1018  1  3  4  14  17  18  
215  2  1005  1006  1012  1015  1017  5  6  9  12  15  17  
216  9  1002  1005  1014  1016  1018  2  5  9  14  16  18  
217  4  1001  1006  1013  1014  1018  1  6  8  13  14  18  
218  3  1001  1003  1014  1017  1018  1  3  8  14  17  18  
219  3  1002  1007  1012  1013  1018  2  7  10  12  13  18  
220  4  1001  1003  1011  1012  1017  1  3  5  11  12  17  
221  3  1001  1002  1013  1016  1017  1  2  6  13  16  17  
222  4  1003  1005  1012  1014  1015  3  5  10  12  14  15  
223  8  1004  1005  1014  1016  1017  4  5  9  14  16  17  
224  5  1002  1003  1013  1014  1015  2  3  8  13  14  15  
225  4  1001  1006  1012  1017  1018  1  6  7  12  17  18  
226  7  1002  1004  1013  1017  1018  2  4  6  13  17  18  
227  6  1004  1005  1013  1015  1018  4  5  7  13  15  18  
228  2  1001  1007  1013  1014  1016  1  7  9  13  14  16  
229  6  1002  1007  1011  1014  1015  2  7  8  11  14  15  
230  1  1001  1003  1011  1012  1018  1  3  6  11  12  18  
231  2  1001  1004  1013  1016  1018  1  4  5  13  16  18  
232  5  1003  1007  1011  1015  1018  3  7  9  11  15  18  
233  10  1001  1002  1011  1014  1015  1  2  3  11  14  15  
234  2  1001  1002  1011  1015  1018  1  2  5  11  15  18  
235  10  1004  1006  1011  1012  1014  4  6  9  11  12  14  
236  8  1002  1003  1013  1015  1018  2  3  10  13  15  18  
237  6  1003  1007  1011  1016  1018  3  7  8  11  16  18  
238  9  1005  1007  1012  1016  1018  5  7  9  12  16  18  
239  10  1001  1002  1015  1016  1018  1  2  7  15  16  18  
240  4  1003  1004  1012  1016  1017  3  4  10  12  16  17  
241  9  1001  1004  1012  1013  1018  1  4  10  12  13  18  
242  10  1001  1005  1013  1014  1016  1  5  9  13  14  16  
243  1  1001  1002  1013  1014  1016  1  2  10  13  14  16  
244  6  1003  1007  1012  1013  1016  3  7  8  12  13  16  
245  5  1003  1006  1016  1017  1018  3  6  8  16  17  18  
246  7  1001  1002  1013  1015  1016  1  2  5  13  15  16  
247  5  1002  1003  1011  1013  1018  2  3  9  11  13  18  
248  7  1003  1005  1013  1014  1016  3  5  9  13  14  16  
249  6  1001  1003  1012  1016  1018  1  3  4  12  16  18  
250  5  1002  1006  1013  1015  1016  2  6  7  13  15  16  
251  4  1002  1006  1011  1016  1017  2  6  9  11  16  17  
252  9  1001  1002  1011  1014  1017  1  2  6  11  14  17  
253  9  1003  1006  1013  1017  1018  3  6  7  13  17  18  
254  1  1003  1006  1012  1013  1017  3  6  7  12  13  17  
255  3  1001  1007  1011  1012  1014  1  7  10  11  12  14  
256  6  1002  1003  1012  1013  1017  2  3  5  12  13  17  
257  5  1001  1004  1013  1016  1018  1  4  6  13  16  18  
258  8  1005  1006  1014  1016  1017  5  6  9  14  16  17  
259  9  1001  1002  1011  1016  1018  1  2  9  11  16  18  
260  7  1003  1006  1011  1013  1014  3  6  10  11  13  14  
261  1  1003  1007  1014  1016  1017  3  7  8  14  16  17  
262  7  1001  1003  1013  1014  1017  1  3  8  13  14  17  
263  2  1004  1006  1011  1017  1018  4  6  9  11  17  18  
264  2  1001  1002  1016  1017  1018  1  2  6  16  17  18  
265  7  1002  1004  1012  1015  1016  2  4  10  12  15  16  
266  1  1001  1003  1011  1015  1017  1  3  9  11  15  17  
267  4  1002  1003  1016  1017  1018  2  3  6  16  17  18  
268  2  1001  1002  1011  1015  1018  1  2  6  11  15  18  
269  3  1006  1007  1015  1016  1018  6  7  8  15  16  18  
270  9  1004  1007  1011  1012  1018  4  7  10  11  12  18  
271  8  1001  1007  1011  1012  1013  1  7  9  11  12  13  
272  6  1002  1004  1013  1017  1018  2  4  10  13  17  18  
273  8  1001  1007  1012  1013  1015  1  7  8  12  13  15  
274  8  1001  1002  1012  1017  1018  1  2  8  12  17  18  
275  6  1002  1007  1014  1015  1017  2  7  8  14  15  17  
276  10  1003  1004  1013  1017  1018  3  4  9  13  17  18  
277  3  1001  1003  1011  1013  1016  1  3  9  11  13  16  
278  2  1001  1002  1011  1013  1014  1  2  6  11  13  14  
279  10  1001  1005  1011  1015  1018  1  5  9  11  15  18  
280  4  1002  1005  1011  1013  1016  2  5  9  11  13  16  
281  5  1002  1007  1011  1012  1015  2  7  9  11  12  15  
282  5  1004  1007  1014  1015  1017  4  7  9  14  15  17  
283  8  1002  1003  1011  1016  1018  2  3  10  11  16  18  
284  10  1003  1004  1016  1017  1018  3  4  6  16  17  18  
285  8  1004  1005  1014  1015  1018  4  5  7  14  15  18  
286  4  1001  1005  1011  1017  1018  1  5  9  11  17  18  
287  4  1005  1007  1013  1016  1018  5  7  10  13  16  18  
288  6  1003  1004  1015  1017  1018  3  4  8  15  17  18  
289  4  1002  1004  1014  1016  1018  2  4  6  14  16  18  
290  6  1001  1002  1012  1013  1016  1  2  3  12  13  16  
291  8  1004  1006  1012  1013  1018  4  6  10  12  13  18  
292  10  1002  1005  1012  1014  1016  2  5  6  12  14  16  
293  8  1002  1005  1014  1017  1018  2  5  7  14  17  18  
294  5  1003  1007  1013  1014  1018  3  7  8  13  14  18  
295  2  1002  1004  1011  1013  1017  2  4  7  11  13  17  
296  10  1002  1003  1012  1014  1015  2  3  5  12  14  15  
297  5  1001  1004  1013  1015  1018  1  4  10  13  15  18  
298  7  1001  1004  1011  1012  1013  1  4  8  11  12  13  
299  2  1002  1003  1011  1013  1015  2  3  9  11  13  15  
300  5  1005  1006  1012  1016  1018  5  6  8  12  16  18  
301  1  1006  1007  1014  1015  1016  6  7  10  14  15  16  
302  5  1002  1007  1012  1014  1018  2  7  8  12  14  18  
303  7  1006  1007  1014  1015  1017  6  7  10  14  15  17  
304  2  1003  1007  1012  1013  1015  3  7  10  12  13  15  
305  6  1001  1002  1016  1017  1018  1  2  4  16  17  18  
306  6  1001  1003  1012  1013  1016  1  3  9  12  13  16  
307  1  1002  1003  1011  1012  1013  2  3  10  11  12  13  
308  8  1001  1003  1012  1016  1018  1  3  6  12  16  18  
309  10  1001  1003  1011  1012  1016  1  3  8  11  12  16  
310  8  1002  1006  1013  1014  1015  2  6  8  13  14  15  
311  10  1001  1003  1014  1016  1017  1  3  9  14  16  17  
312  1  1001  1003  1013  1015  1016  1  3  8  13  15  16  
313  8  1003  1006  1014  1017  1018  3  6  9  14  17  18  
314  4  1001  1002  1013  1015  1018  1  2  3  13  15  18  
315  9  1001  1002  1011  1015  1016  1  2  4  11  15  16  
316  7  1002  1004  1013  1015  1018  2  4  7  13  15  18  
317  8  1002  1003  1015  1017  1018  2  3  8  15  17  18  
318  10  1001  1007  1013  1014  1015  1  7  9  13  14  15  
319  3  1001  1006  1012  1016  1018  1  6  9  12  16  18  
320  10  1001  1002  1011  1012  1015  1  2  9  11  12  15  
321  3  1001  1002  1012  1015  1018  1  2  8  12  15  18  
322  7  1003  1007  1012  1016  1018  3  7  8  12  16  18  
323  8  1005  1006  1011  1014  1015  5  6  7  11  14  15  
324  8  1003  1006  1011  1012  1018  3  6  7  11  12  18  
325  7  1001  1002  1011  1012  1016  1  2  6  11  12  16  
326  7  1001  1004  1014  1015  1018  1  4  10  14  15  18  
327  2  1005  1007  1011  1015  1016  5  7  8  11  15  16  
328  8  1001  1003  1012  1015  1017  1  3  10  12  15  17  
329  2  1001  1002  1011  1012  1018  1  2  7  11  12  18  
330  10  1001  1002  1012  1013  1015  1  2  3  12  13  15  
331  9  1002  1004  1011  1012  1013  2  4  6  11  12  13  
332  8  1004  1005  1012  1013  1014  4  5  9  12  13  14  
333  8  1001  1002  1011  1016  1017  1  2  5  11  16  17  
334  1  1006  1007  1011  1013  1016  6  7  8  11  13  16  
335  6  1003  1007  1014  1015  1018  3  7  8  14  15  18  
336  8  1003  1005  1012  1013  1018  3  5  7  12  13  18  
337  3  1001  1003  1015  1017  1018  1  3  6  15  17  18  
338  9  1001  1006  1012  1014  1017  1  6  7  12  14  17  
339  9  1001  1002  1011  1012  1018  1  2  4  11  12  18  
340  3  1002  1004  1014  1015  1017  2  4  6  14  15  17  
341  2  1002  1005  1011  1015  1017  2  5  8  11  15  17  
342  2  1005  1007  1013  1014  1017  5  7  9  13  14  17  
343  1  1002  1004  1011  1012  1016  2  4  5  11  12  16  
344  8  1001  1002  1011  1012  1018  1  2  9  11  12  18  
345  1  1001  1002  1015  1017  1018  1  2  6  15  17  18  
346  9  1003  1006  1011  1013  1015  3  6  9  11  13  15  
347  9  1002  1003  1012  1015  1016  2  3  7  12  15  16  
348  4  1004  1005  1015  1016  1017  4  5  9  15  16  17  
349  9  1002  1005  1012  1017  1018  2  5  10  12  17  18  
350  8  1001  1002  1011  1015  1016  1  2  6  11  15  16  
351  10  1003  1006  1011  1012  1013  3  6  9  11  12  13  
352  3  1002  1007  1011  1016  1018  2  7  10  11  16  18  
353  10  1001  1002  1013  1017  1018  1  2  8  13  17  18  
354  1  1005  1006  1011  1012  1018  5  6  7  11  12  18  
355  2  1002  1003  1011  1015  1017  2  3  6  11  15  17  
356  9  1004  1005  1014  1017  1018  4  5  6  14  17  18  
357  4  1002  1006  1011  1012  1014  2  6  9  11  12  14  
358  8  1004  1007  1013  1014  1016  4  7  10  13  14  16  
359  2  1002  1005  1012  1013  1017  2  5  10  12  13  17  
360  2  1001  1003  1012  1017  1018  1  3  5  12  17  18  
361  5  1004  1005  1011  1012  1014  4  5  6  11  12  14  
362  4  1001  1005  1012  1015  1018  1  5  10  12  15  18  
363  3  1001  1003  1014  1017  1018  1  3  9  14  17  18  
364  1  1002  1005  1011  1012  1015  2  5  6  11  12  15  
365  1  1006  1007  1011  1014  1015  6  7  9  11  14  15  
366  6  1005  1007  1011  1012  1014  5  7  9  11  12  14  
367  10  1001  1002  1011  1012  1015  1  2  5  11  12  15  
368  4  1002  1003  1011  1014  1017  2  3  9  11  14  17  
369  1  1001  1002  1011  1012  1013  1  2  8  11  12  13  
370  1  1001  1002  1015  1016  1018  1  2  9  15  16  18  
371  7  1002  1003  1011  1012  1015  2  3  5  11  12  15  
372  6  1001  1002  1012  1015  1017  1  2  3  12  15  17  
373  4  1001  1003  1014  1016  1017  1  3  6  14  16  17  
374  1  1001  1003  1011  1013  1017  1  3  10  11  13  17  
375  7  1003  1007  1015  1016  1017  3  7  9  15  16  17  
376  6  1001  1002  1013  1015  1018  1  2  7  13  15  18  
377  4  1002  1004  1014  1017  1018  2  4  6  14  17  18  
378  8  1001  1002  1013  1016  1018  1  2  6  13  16  18  
379  8  1001  1002  1016  1017  1018  1  2  9  16  17  18  
380  7  1002  1004  1015  1017  1018  2  4  8  15  17  18  
381  6  1005  1006  1011  1012  1013  5  6  10  11  12  13  
382  6  1001  1006  1013  1014  1015  1  6  8  13  14  15  
383  3  1001  1006  1011  1014  1018  1  6  7  11  14  18  
384  9  1001  1003  1011  1016  1017  1  3  10  11  16  17  
385  6  1002  1005  1012  1015  1016  2  5  6  12  15  16  
386  10  1002  1005  1011  1012  1017  2  5  9  11  12  17  
387  5  1002  1004  1012  1013  1016  2  4  7  12  13  16  
388  10  1001  1002  1012  1014  1016  1  2  5  12  14  16  
389  9  1001  1002  1011  1012  1017  1  2  10  11  12  17  
390  2  1003  1005  1013  1015  1017  3  5  6  13  15  17  
391  6  1001  1002  1011  1013  1014  1  2  3  11  13  14  
392  10  1001  1002  1011  1013  1016  1  2  7  11  13  16  
393  6  1003  1007  1012  1017  1018  3  7  10  12  17  18  
394  5  1005  1007  1011  1014  1018  5  7  9  11  14  18  
395  6  1002  1007  1011  1014  1018  2  7  9  11  14  18  
396  8  1001  1002  1012  1014  1018  1  2  4  12  14  18  
397  5  1003  1004  1011  1015  1017  3  4  10  11  15  17  
398  1  1001  1003  1015  1016  1017  1  3  6  15  16  17  
399  2  1002  1004  1013  1015  1016  2  4  9  13  15  16  
400  9  1001  1002  1011  1014  1015  1  2  8  11  14  15  
401  8  1001  1003  1011  1013  1016  1  3  5  11  13  16  
402  3  1004  1006  1012  1014  1015  4  6  8  12  14  15  
403  1  1002  1006  1015  1017  1018  2  6  8  15  17  18  
404  6  1001  1002  1013  1015  1018  1  2  8  13  15  18  
405  7  1002  1003  1013  1016  1017  2  3  4  13  16  17  
406  4  1001  1003  1012  1014  1016  1  3  5  12  14  16  
407  8  1001  1002  1014  1015  1016  1  2  5  14  15  16  
408  8  1002  1004  1012  1014  1018  2  4  6  12  14  18  
409  8  1004  1006  1012  1013  1015  4  6  8  12  13  15  
410  5  1001  1004  1011  1016  1018  1  4  7  11  16  18  
411  2  1001  1002  1011  1012  1013  1  2  6  11  12  13  
412  7  1004  1005  1011  1012  1016  4  5  10  11  12  16  
413  7  1006  1007  1013  1014  1017  6  7  8  13  14  17  
414  8  1001  1007  1011  1012  1016  1  7  8  11  12  16  
415  6  1001  1003  1011  1015  1018  1  3  8  11  15  18  
416  10  1006  1007  1013  1014  1015  6  7  10  13  14  15  
417  7  1001  1002  1011  1014  1017  1  2  8  11  14  17  
418  3  1003  1007  1011  1013  1017  3  7  10  11  13  17  
419  2  1002  1004  1012  1017  1018  2  4  9  12  17  18  
420  3  1004  1006  1014  1015  1016  4  6  8  14  15  16  
421  8  1004  1005  1016  1017  1018  4  5  7  16  17  18  
422  7  1001  1006  1014  1016  1017  1  6  8  14  16  17  
423  2  1001  1006  1012  1013  1017  1  6  8  12  13  17  
424  9  1003  1006  1012  1015  1018  3  6  8  12  15  18  
425  2  1001  1002  1013  1014  1015  1  2  4  13  14  15  
426  8  1003  1006  1011  1014  1015  3  6  10  11  14  15  
427  6  1001  1003  1015  1016  1017  1  3  9  15  16  17  
428  5  1001  1007  1014  1017  1018  1  7  8  14  17  18  
429  9  1003  1007  1012  1017  1018  3  7  9  12  17  18  
430  2  1002  1003  1014  1015  1016  2  3  9  14  15  16  
431  8  1002  1003  1012  1013  1017  2  3  8  12  13  17  
432  5  1003  1007  1013  1017  1018  3  7  9  13  17  18  
433  10  1002  1006  1012  1013  1017  2  6  8  12  13  17  
434  8  1001  1005  1011  1012  1017  1  5  8  11  12  17  
